outer_fold,feature_date,target_date,nested_role,included,exclusion_reason,component_validation_start,hybrid_validation_start,outer_test_start,dataset_sha256,split_sha256,nested_split_id
1,2021-02-03,2021-02-08,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-04,2021-02-09,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-05,2021-02-10,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-06,2021-02-11,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-07,2021-02-12,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-08,2021-02-13,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-09,2021-02-14,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-10,2021-02-15,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-11,2021-02-16,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
1,2021-02-12,2021-02-17,component_subtrain,True,,2021-07-26,2021-08-30,2021-10-10,6ed147cd585e5e8083292683f9be3cf585e97e4d46fa0e3224d24a4e2b42cbbb,f83baf5732ffbf88b9a448a3d9ab9fa270f7495fe44d1559c1ac49795a30881a,h5_fold1_fully_nested_v1
