horizon,outer_fold,feature_date,target_date,outer_role,inner_fold,inner_role,original_row_index,purged_outer_boundary,purged_inner_boundary,purge_reason
1,1,2021-01-18,2021-01-19,outer_train,1,inner_train,14,False,False,
1,1,2021-01-19,2021-01-20,outer_train,1,inner_train,15,False,False,
1,1,2021-01-20,2021-01-21,outer_train,1,inner_train,16,False,False,
1,1,2021-01-21,2021-01-22,outer_train,1,inner_train,17,False,False,
1,1,2021-01-22,2021-01-23,outer_train,1,inner_train,18,False,False,
1,1,2021-01-23,2021-01-24,outer_train,1,inner_train,19,False,False,
1,1,2021-01-24,2021-01-25,outer_train,1,inner_train,20,False,False,
1,1,2021-01-25,2021-01-26,outer_train,1,inner_train,21,False,False,
1,1,2021-01-26,2021-01-27,outer_train,1,inner_train,22,False,False,
1,1,2021-01-27,2021-01-28,outer_train,1,inner_train,23,False,False,
1,1,2021-01-28,2021-01-29,outer_train,1,inner_train,24,False,False,
1,1,2021-01-29,2021-01-30,outer_train,1,inner_train,25,False,False,
1,1,2021-01-30,2021-01-31,outer_train,1,inner_train,26,False,False,
1,1,2021-01-31,2021-02-01,outer_train,1,inner_train,27,False,False,
1,1,2021-02-01,2021-02-02,outer_train,1,inner_train,28,False,False,
1,1,2021-02-02,2021-02-03,outer_train,1,inner_train,29,False,False,
1,1,2021-02-03,2021-02-04,outer_train,1,inner_train,30,False,False,
1,1,2021-02-04,2021-02-05,outer_train,1,inner_train,31,False,False,
1,1,2021-02-05,2021-02-06,outer_train,1,inner_train,32,False,False,
1,1,2021-02-06,2021-02-07,outer_train,1,inner_train,33,False,False,
1,1,2021-02-07,2021-02-08,outer_train,1,inner_train,34,False,False,
1,1,2021-02-08,2021-02-09,outer_train,1,inner_train,35,False,False,
1,1,2021-02-09,2021-02-10,outer_train,1,inner_train,36,False,False,
1,1,2021-02-10,2021-02-11,outer_train,1,inner_train,37,False,False,
1,1,2021-02-11,2021-02-12,outer_train,1,inner_train,38,False,False,
1,1,2021-02-12,2021-02-13,outer_train,1,inner_train,39,False,False,
1,1,2021-02-13,2021-02-14,outer_train,1,inner_train,40,False,False,
1,1,2021-02-14,2021-02-15,outer_train,1,inner_train,41,False,False,
1,1,2021-02-15,2021-02-16,outer_train,1,inner_train,42,False,False,
1,1,2021-02-16,2021-02-17,outer_train,1,inner_train,43,False,False,
1,1,2021-02-17,2021-02-18,outer_train,1,inner_train,44,False,False,
1,1,2021-02-18,2021-02-19,outer_train,1,inner_train,45,False,False,
1,1,2021-02-19,2021-02-20,outer_train,1,inner_train,46,False,False,
1,1,2021-02-20,2021-02-21,outer_train,1,inner_train,47,False,False,
1,1,2021-02-21,2021-02-22,outer_train,1,inner_train,48,False,False,
1,1,2021-02-22,2021-02-23,outer_train,1,inner_train,49,False,False,
1,1,2021-02-23,2021-02-24,outer_train,1,inner_train,50,False,False,
1,1,2021-02-24,2021-02-25,outer_train,1,inner_train,51,False,False,
1,1,2021-02-25,2021-02-26,outer_train,1,inner_train,52,False,False,
1,1,2021-02-26,2021-02-27,outer_train,1,inner_train,53,False,False,
1,1,2021-02-27,2021-02-28,outer_train,1,inner_train,54,False,False,
1,1,2021-02-28,2021-03-01,outer_train,1,inner_train,55,False,False,
1,1,2021-03-01,2021-03-02,outer_train,1,inner_train,56,False,False,
1,1,2021-03-02,2021-03-03,outer_train,1,inner_train,57,False,False,
1,1,2021-03-03,2021-03-04,outer_train,1,inner_train,58,False,False,
1,1,2021-03-04,2021-03-05,outer_train,1,inner_train,59,False,False,
1,1,2021-03-05,2021-03-06,outer_train,1,inner_train,60,False,False,
1,1,2021-03-06,2021-03-07,outer_train,1,inner_train,61,False,False,
1,1,2021-03-07,2021-03-08,outer_train,1,inner_train,62,False,False,
1,1,2021-03-08,2021-03-09,outer_train,1,inner_train,63,False,False,
1,1,2021-03-09,2021-03-10,outer_train,1,inner_train,64,False,False,
1,1,2021-03-10,2021-03-11,outer_train,1,inner_train,65,False,False,
1,1,2021-03-11,2021-03-12,outer_train,1,inner_train,66,False,False,
1,1,2021-03-12,2021-03-13,outer_train,1,inner_train,67,False,False,
1,1,2021-03-13,2021-03-14,outer_train,1,inner_train,68,False,False,
1,1,2021-03-14,2021-03-15,outer_train,1,inner_train,69,False,False,
1,1,2021-03-15,2021-03-16,outer_train,1,inner_train,70,False,False,
1,1,2021-03-16,2021-03-17,outer_train,1,inner_train,71,False,False,
1,1,2021-03-17,2021-03-18,outer_train,1,inner_train,72,False,False,
