horizon,sample_idx,date,fold1_set,fold2_set,fold3_set
3,0,2021-02-03,train,train,train
3,1,2021-02-04,train,train,train
3,2,2021-02-05,train,train,train
3,3,2021-02-06,train,train,train
3,4,2021-02-07,train,train,train
3,5,2021-02-08,train,train,train
3,6,2021-02-09,train,train,train
3,7,2021-02-10,train,train,train
3,8,2021-02-11,train,train,train
3,9,2021-02-12,train,train,train
3,10,2021-02-13,train,train,train
3,11,2021-02-14,train,train,train
3,12,2021-02-15,train,train,train
3,13,2021-02-16,train,train,train
3,14,2021-02-17,train,train,train
3,15,2021-02-18,train,train,train
3,16,2021-02-19,train,train,train
3,17,2021-02-20,train,train,train
3,18,2021-02-21,train,train,train
3,19,2021-02-22,train,train,train
3,20,2021-02-23,train,train,train
3,21,2021-02-24,train,train,train
3,22,2021-02-25,train,train,train
3,23,2021-02-26,train,train,train
3,24,2021-02-27,train,train,train
3,25,2021-02-28,train,train,train
3,26,2021-03-01,train,train,train
3,27,2021-03-02,train,train,train
3,28,2021-03-03,train,train,train
3,29,2021-03-04,train,train,train
3,30,2021-03-05,train,train,train
3,31,2021-03-06,train,train,train
3,32,2021-03-07,train,train,train
3,33,2021-03-08,train,train,train
3,34,2021-03-09,train,train,train
3,35,2021-03-10,train,train,train
3,36,2021-03-11,train,train,train
3,37,2021-03-12,train,train,train
3,38,2021-03-13,train,train,train
3,39,2021-03-14,train,train,train
3,40,2021-03-15,train,train,train
3,41,2021-03-16,train,train,train
3,42,2021-03-17,train,train,train
3,43,2021-03-18,train,train,train
3,44,2021-03-19,train,train,train
3,45,2021-03-20,train,train,train
3,46,2021-03-21,train,train,train
3,47,2021-03-22,train,train,train
3,48,2021-03-23,train,train,train
3,49,2021-03-24,train,train,train
3,50,2021-03-25,train,train,train
3,51,2021-03-26,train,train,train
3,52,2021-03-27,train,train,train
3,53,2021-03-28,train,train,train
3,54,2021-03-29,train,train,train
3,55,2021-03-30,train,train,train
3,56,2021-03-31,train,train,train
3,57,2021-04-01,train,train,train
3,58,2021-04-02,train,train,train
3,59,2021-04-03,train,train,train
3,60,2021-04-04,train,train,train
3,61,2021-04-05,train,train,train
3,62,2021-04-06,train,train,train
3,63,2021-04-07,train,train,train
3,64,2021-04-08,train,train,train
3,65,2021-04-09,train,train,train
3,66,2021-04-10,train,train,train
3,67,2021-04-11,train,train,train
3,68,2021-04-12,train,train,train
3,69,2021-04-13,train,train,train
3,70,2021-04-14,train,train,train
3,71,2021-04-15,train,train,train
3,72,2021-04-16,train,train,train
3,73,2021-04-17,train,train,train
3,74,2021-04-18,train,train,train
