horizon,sample_idx,date,fold1_set,fold2_set,fold3_set
1,0,2021-01-18,train,train,train
1,1,2021-01-19,train,train,train
1,2,2021-01-20,train,train,train
1,3,2021-01-21,train,train,train
1,4,2021-01-22,train,train,train
1,5,2021-01-23,train,train,train
1,6,2021-01-24,train,train,train
1,7,2021-01-25,train,train,train
1,8,2021-01-26,train,train,train
1,9,2021-01-27,train,train,train
1,10,2021-01-28,train,train,train
1,11,2021-01-29,train,train,train
1,12,2021-01-30,train,train,train
1,13,2021-01-31,train,train,train
1,14,2021-02-01,train,train,train
1,15,2021-02-02,train,train,train
1,16,2021-02-03,train,train,train
1,17,2021-02-04,train,train,train
1,18,2021-02-05,train,train,train
1,19,2021-02-06,train,train,train
1,20,2021-02-07,train,train,train
1,21,2021-02-08,train,train,train
1,22,2021-02-09,train,train,train
1,23,2021-02-10,train,train,train
1,24,2021-02-11,train,train,train
1,25,2021-02-12,train,train,train
1,26,2021-02-13,train,train,train
1,27,2021-02-14,train,train,train
1,28,2021-02-15,train,train,train
1,29,2021-02-16,train,train,train
1,30,2021-02-17,train,train,train
1,31,2021-02-18,train,train,train
1,32,2021-02-19,train,train,train
1,33,2021-02-20,train,train,train
1,34,2021-02-21,train,train,train
1,35,2021-02-22,train,train,train
1,36,2021-02-23,train,train,train
1,37,2021-02-24,train,train,train
1,38,2021-02-25,train,train,train
1,39,2021-02-26,train,train,train
1,40,2021-02-27,train,train,train
1,41,2021-02-28,train,train,train
1,42,2021-03-01,train,train,train
1,43,2021-03-02,train,train,train
1,44,2021-03-03,train,train,train
1,45,2021-03-04,train,train,train
1,46,2021-03-05,train,train,train
1,47,2021-03-06,train,train,train
1,48,2021-03-07,train,train,train
1,49,2021-03-08,train,train,train
1,50,2021-03-09,train,train,train
1,51,2021-03-10,train,train,train
1,52,2021-03-11,train,train,train
1,53,2021-03-12,train,train,train
1,54,2021-03-13,train,train,train
1,55,2021-03-14,train,train,train
1,56,2021-03-15,train,train,train
1,57,2021-03-16,train,train,train
1,58,2021-03-17,train,train,train
1,59,2021-03-18,train,train,train
1,60,2021-03-19,train,train,train
1,61,2021-03-20,train,train,train
1,62,2021-03-21,train,train,train
1,63,2021-03-22,train,train,train
1,64,2021-03-23,train,train,train
1,65,2021-03-24,train,train,train
1,66,2021-03-25,train,train,train
1,67,2021-03-26,train,train,train
1,68,2021-03-27,train,train,train
1,69,2021-03-28,train,train,train
1,70,2021-03-29,train,train,train
1,71,2021-03-30,train,train,train
1,72,2021-03-31,train,train,train
